section;restaurant;title;designer_note
Водка;pravda;Водка;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Бурбон;pravda;Бурбон;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Виски купажированный;pravda;Виски купажированный;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Виски односолодовый;pravda;Виски односолодовый;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Коньяк и бренди;pravda;Коньяк и бренди;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Ром;pravda;Ром;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Текила и мескаль;pravda;Текила и мескаль;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Джин;pravda;Джин;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Вермут;pravda;Вермут;Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
"Ликёры, биттеры и амаро";pravda;"Ликёры, биттеры и амаро";Название страны указываем рядом с названием напитка более светлым и мелким шрифтом.
Холодные закуски;pravda;Холодные закуски;
Горячие закуски;pravda;Горячие закуски;
Закуски фри;pravda;Закуски фри;
Салаты;pravda;Салаты;
Супы;pravda;Супы;
Основные блюда;pravda;Основное;Для позиции «Борщ с т��млёной говядиной» вынести фразу «Водка к борщу — в подарок» в заметный бейдж.
Паста;pravda;Паста;
Гарниры;pravda;Гарниры;
Соусы;pravda;Соусы;Общий выход и цену указать один раз под заголовком раздела; не дублировать у каждого соуса.
Бургеры;pravda;Бургеры;
Десерты;pravda;Десерты;Перед финальной вёрсткой уточнить, оставить чиабатту здесь или убрать.
Холодные закуски;soyuz;Холодные закуски;
Горячие закуски;soyuz;Горячие закуски;
Закуски фри;soyuz;Закуски фри;
Салаты;soyuz;Салаты;
Супы;soyuz;Супы;
Паста;soyuz;Паста;
Бургеры;soyuz;Бургеры;
Основное;soyuz;Основное;
Гарниры;soyuz;Гарниры;
Соусы;soyuz;Соусы;Общий выход и цену указать один раз под заголовком раздела; не дублировать у каждого соуса.
Десерты;soyuz;Десерты;
Настойки;soyuz;Фирменные настойки;Группировка настоек по сетам: сет № 1 — первые шесть, сет № 2 — следующие шесть.
Шоты;soyuz;Сеты шотов;
Винная карта;soyuz;Винная карта;Для каждой позиции вывести страну, регион, тип, крепость и сорта винограда. Где указана цена за бокал — вывести оба объёма (бутылка 0,75 л и бокал 0,125 л).
Пиво бутылочное;soyuz;Пиво бутылочное;Для каждой позиции вывести тип, страну, крепость и плотность (где указана).
Пиво розлив;soyuz;Пиво розлив;Для всех позиций обязательно разместить логотип соответствующего бренда. Два объёма — две цены (0,5 и 0,35 л).
Чай классический;soyuz;Классический чай и кофе;Разделы: «Чай классический, 600 мл», «Добавки к чаю», «Кофе». Добавки к чаю выводятся компактным блоком.
Кофе;soyuz;Кофе;
Чай авторский;soyuz;Авторский чай;Авторский чай, 600 мл.
Чай китайский;soyuz;Элитный китайский чай;Элитный китайский чай, 1000 мл.
Освежающие;soyuz;Освежающие напитки;Выход напитков указан без учёта льда. Разделы: «Лимонады», «Лимонады на компанию 1000 мл», «Смузи», «Прохладительные напитки», «Свежевыжатые соки».
Коктейли авторские;soyuz;Авторские коктейли;
Коктейли классические;soyuz;Классические коктейли;
Коктейли б/а;soyuz;Коктейли б/а;
Глинтвейн;soyuz;Глинтвейн;
